OTU3031,KY950498.1,98.026,152,1,2,1,150,642,491,1.37e-66,263
OTU3031,KX881603.1,98.026,152,1,2,1,150,647,496,1.37e-66,263
OTU3031,KU535664.1,98.026,152,1,2,1,150,667,516,1.37e-66,263
OTU3031,KU535663.1,98.026,152,1,2,1,150,663,512,1.37e-66,263
OTU3031,KU535662.1,98.026,152,1,1,1,150,663,512,1.37e-66,263
OTU3031,KU535661.1,98.026,152,1,2,1,150,669,518,1.37e-66,263
OTU3031,MG231808.1,97.368,152,2,2,1,150,655,504,6.38e-65,257
OTU3031,MH857007.1,96.753,154,1,2,1,150,681,528,8.26e-64,254
OTU3031,MH860025.1,95.513,156,1,3,1,150,678,523,4.97e-61,244
OTU3031,MG722738.1,95.364,151,5,2,1,150,661,512,2.31e-59,239
OTU3035,MH858831.1,97.143,35,1,0,1,35,794,760,1.93e-05,60.2
OTU3035,KF848854.1,97.143,35,1,0,1,35,816,782,1.93e-05,60.2
OTU3035,JN942679.1,97.143,35,1,0,1,35,807,773,1.93e-05,60.2
OTU3035,HQ542919.1,97.143,35,1,0,1,35,807,773,1.93e-05,60.2
OTU3035,HQ542918.1,97.143,35,1,0,1,35,803,769,1.93e-05,60.2
OTU3035,AB295428.1,97.143,35,1,0,1,35,2591,2557,1.93e-05,60.2
OTU3035,AB295427.1,97.143,35,1,0,1,35,2588,2554,1.93e-05,60.2
OTU3035,NR_153863.1,97.143,35,0,1,1,34,735,701,6.95e-05,58.4
OTU3035,NR_132054.1,100.000,31,0,0,1,31,1025,995,6.95e-05,58.4
OTU3035,KF586842.1,100.000,31,0,0,1,31,2707,2677,6.95e-05,58.4
OTU3041,NG_027613.1,100.000,28,0,0,1,28,34,7,0.003,52.8
OTU3044,HF674440.1,90.909,44,3,1,1,44,765,723,6.95e-05,58.4
OTU3044,HF674439.1,90.909,44,3,1,1,44,766,724,6.95e-05,58.4
OTU3044,HF674438.1,90.909,44,2,1,1,44,764,723,6.95e-05,58.4
OTU3044,HQ856953.1,100.000,30,0,0,1,30,357,328,2.50e-04,56.5
OTU3044,HQ856952.1,100.000,30,0,0,1,30,357,328,2.50e-04,56.5
OTU3047,HQ176333.1,78.528,163,16,14,1,150,362,206,2.46e-14,89.8
OTU3057,MH858831.1,97.143,35,1,0,1,35,794,760,1.93e-05,60.2
OTU3057,KF848854.1,97.143,35,1,0,1,35,816,782,1.93e-05,60.2
OTU3057,JN942679.1,97.143,35,1,0,1,35,807,773,1.93e-05,60.2
OTU3057,HQ542919.1,97.143,35,1,0,1,35,807,773,1.93e-05,60.2
OTU3057,HQ542918.1,97.143,35,1,0,1,35,803,769,1.93e-05,60.2
OTU3057,AB295428.1,97.143,35,1,0,1,35,2591,2557,1.93e-05,60.2
